rejim,kol,model,n,MAE,RMSE,DA_adet,DA_yuzde,gercek_pozitif,gercek_negatif,cogunluk_taban_yuzde,DA_binom_p_vs_0_5
SOK,T0,DirectTabular,35,27.99137265357711,35.84569748472131,19,54.285714285714285,19,16,54.285714285714285,0.3679394004284404
SOK,T0,WeightedEnsemble,35,28.031314641440833,36.12790110271803,12,34.285714285714285,19,16,54.285714285714285,0.9795202042441815
SOK,T1,WeightedEnsemble,35,28.39506357820449,35.941330712123396,11,31.428571428571427,19,16,54.285714285714285,0.9916630760999396
SOK,T0,SeasonalNaive,35,31.43196281514675,40.36737140857583,18,51.42857142857142,19,16,54.285714285714285,0.5
SOK,T0,mevsimsel_naive,35,31.43196281514675,40.36737140857583,18,51.42857142857142,19,16,54.285714285714285,0.5
SOK,T1,SeasonalNaive,35,31.43196281514675,40.36737140857583,18,51.42857142857142,19,16,54.285714285714285,0.5
SOK,T1,mevsimsel_naive,35,31.43196281514675,40.36737140857583,18,51.42857142857142,19,16,54.285714285714285,0.5
SOK,T0,RecursiveTabular,35,31.532712345432238,40.08395215204922,16,45.714285714285715,19,16,54.285714285714285,0.7502200833987445
SOK,T1,RecursiveTabular,35,32.19137759375813,40.64054744867408,16,45.714285714285715,19,16,54.285714285714285,0.7502200833987445
SOK,T0,naive,35,33.522280336265325,45.382897579120815,19,54.285714285714285,19,16,54.285714285714285,0.3679394004284404
SOK,T1,naive,35,33.522280336265325,45.382897579120815,19,54.285714285714285,19,16,54.285714285714285,0.3679394004284404
TUM,T1,Chronos2,64,18.020434432683746,26.137319541386212,38,59.375,33,31,51.5625,0.08432145571985168
TUM,T0,sifir,64,18.768317786236643,25.823580600246157,0,0.0,33,31,51.5625,1.0
TUM,T1,sifir,64,18.768317786236643,25.823580600246157,0,0.0,33,31,51.5625,1.0
TUM,T0,ETS,64,19.01701530941941,26.172424684546765,26,40.625,33,31,51.5625,0.9482890608419596
TUM,T1,ETS,64,19.01701530941941,26.172424684546765,26,40.625,33,31,51.5625,0.9482890608419596
TUM,T0,son12_ortalama,64,19.59949577794092,27.040493509996953,25,39.0625,33,31,51.5625,0.9700294052165004
TUM,T1,son12_ortalama,64,19.59949577794092,27.040493509996953,25,39.0625,33,31,51.5625,0.9700294052165004
TUM,T0,Chronos2,64,19.63464082584967,27.297112219211886,27,42.1875,33,31,51.5625,0.9156785442801484
TUM,T0,Toto2,64,19.696188618476445,27.442987641428466,27,42.1875,33,31,51.5625,0.9156785442801484
TUM,T1,Toto2,64,19.696188618476445,27.442987641428466,27,42.1875,33,31,51.5625,0.9156785442801484
TUM,T0,Theta,64,19.833267875836718,27.404814775450937,27,42.1875,33,31,51.5625,0.9156785442801484
TUM,T1,Theta,64,19.833267875836718,27.404814775450937,27,42.1875,33,31,51.5625,0.9156785442801484
TUM,T1,DirectTabular,64,20.42577279358404,26.332930570576043,34,53.125,33,31,51.5625,0.353990377067382
TUM,T0,DirectTabular,64,20.467927917306525,28.64990978477237,36,56.25,33,31,51.5625,0.19086639739666883
TUM,T1,WeightedEnsemble,64,20.831074865830484,28.355929463595498,26,40.625,33,31,51.5625,0.9482890608419596
TUM,T0,WeightedEnsemble,64,21.14719280095248,29.10117519904317,20,31.25,33,31,51.5625,0.999218605327586
TUM,T0,SeasonalNaive,64,25.286050506021816,33.2684815990891,35,54.6875,33,31,51.5625,0.26615438801392105
TUM,T0,mevsimsel_naive,64,25.286050506021816,33.2684815990891,35,54.6875,33,31,51.5625,0.26615438801392105
TUM,T1,SeasonalNaive,64,25.286050506021816,33.2684815990891,35,54.6875,33,31,51.5625,0.26615438801392105
TUM,T1,mevsimsel_naive,64,25.286050506021816,33.2684815990891,35,54.6875,33,31,51.5625,0.26615438801392105
TUM,T0,RecursiveTabular,64,26.131823159532466,33.95026105501916,30,46.875,33,31,51.5625,0.733845611986079
TUM,T1,RecursiveTabular,64,26.324957104924522,34.21177505731625,32,50.0,33,31,51.5625,0.5496733768739834
TUM,T0,naive,64,27.374196772086474,37.83553458415375,30,46.875,33,31,51.5625,0.733845611986079
TUM,T1,naive,64,27.374196772086474,37.83553458415375,30,46.875,33,31,51.5625,0.733845611986079
