kol,rejim,blok,origin,model,hedef_ay,y_true,y_pred_q50
T0,SOK,SELECT,2020-09-01,Chronos2,2020-10-01,-10.335965571611636,1.4755280017852783
T0,SOK,SELECT,2020-09-01,Toto2,2020-10-01,-10.335965571611636,1.2383002042770386
T0,SOK,SELECT,2020-09-01,WeightedEnsemble,2020-10-01,-10.335965571611636,6.0947340524271905
T0,SOK,SELECT,2020-09-01,sifir,2020-10-01,-10.335965571611636,0.0
T0,SOK,SELECT,2020-09-01,naive,2020-10-01,-10.335965571611636,9.408234654401094
T0,SOK,SELECT,2020-09-01,mevsimsel_naive,2020-10-01,-10.335965571611636,13.95616299850194
T0,SOK,SELECT,2020-09-01,son12_ortalama,2020-10-01,-10.335965571611636,0.825007425865346
T0,SOK,SELECT,2020-10-01,SeasonalNaive,2020-11-01,-24.71378643217448,0.7049748855711863
T0,SOK,SELECT,2020-10-01,RecursiveTabular,2020-11-01,-24.71378643217448,2.097625255584717
T0,SOK,SELECT,2020-10-01,DirectTabular,2020-11-01,-24.71378643217448,0.8946433663368225
T0,SOK,SELECT,2020-10-01,ETS,2020-11-01,-24.71378643217448,0.8140104525885115
T0,SOK,SELECT,2020-10-01,Theta,2020-11-01,-24.71378643217448,2.4228837490081787
T0,SOK,SELECT,2020-10-01,Chronos2,2020-11-01,-24.71378643217448,0.5990771055221558
T0,SOK,SELECT,2020-10-01,Toto2,2020-11-01,-24.71378643217448,0.9024906158447266
T0,SOK,SELECT,2020-10-01,WeightedEnsemble,2020-11-01,-24.71378643217448,0.8946433663368225
T0,SOK,SELECT,2020-10-01,sifir,2020-11-01,-24.71378643217448,0.0
T0,SOK,SELECT,2020-10-01,naive,2020-11-01,-24.71378643217448,-10.335965571611636
T0,SOK,SELECT,2020-10-01,mevsimsel_naive,2020-11-01,-24.71378643217448,0.7049748855711863
T0,SOK,SELECT,2020-10-01,son12_ortalama,2020-11-01,-24.71378643217448,-1.1993366216441184
T0,SOK,SELECT,2020-11-01,SeasonalNaive,2020-12-01,-26.59472251283588,9.88311102405166
T0,SOK,SELECT,2020-11-01,RecursiveTabular,2020-12-01,-26.59472251283588,10.285274505615234
T0,SOK,SELECT,2020-11-01,DirectTabular,2020-12-01,-26.59472251283588,1.1884284019470215
T0,SOK,SELECT,2020-11-01,ETS,2020-12-01,-26.59472251283588,0.09829488460432853
T0,SOK,SELECT,2020-11-01,Theta,2020-12-01,-26.59472251283588,-0.7495628595352173
T0,SOK,SELECT,2020-11-01,Chronos2,2020-12-01,-26.59472251283588,0.0779767781496048
T0,SOK,SELECT,2020-11-01,Toto2,2020-12-01,-26.59472251283588,0.0054012686014175415
T0,SOK,SELECT,2020-11-01,WeightedEnsemble,2020-12-01,-26.59472251283588,0.0779767781496048
T0,SOK,SELECT,2020-11-01,sifir,2020-12-01,-26.59472251283588,0.0
T0,SOK,SELECT,2020-11-01,naive,2020-12-01,-26.59472251283588,-24.71378643217448
T0,SOK,SELECT,2020-11-01,mevsimsel_naive,2020-12-01,-26.59472251283588,9.88311102405166
T0,SOK,SELECT,2020-11-01,son12_ortalama,2020-12-01,-26.59472251283588,-3.317566731456257
T0,SOK,SELECT,2020-12-01,SeasonalNaive,2021-01-01,-16.72519933077777,-17.591554852079078
T0,SOK,SELECT,2020-12-01,RecursiveTabular,2021-01-01,-16.72519933077777,-18.785079956054688
T0,SOK,SELECT,2020-12-01,DirectTabular,2021-01-01,-16.72519933077777,0.8362072110176086
T0,SOK,SELECT,2020-12-01,ETS,2021-01-01,-16.72519933077777,-0.6654050077953271
T0,SOK,SELECT,2020-12-01,Theta,2021-01-01,-16.72519933077777,-3.805147647857666
T0,SOK,SELECT,2020-12-01,Chronos2,2021-01-01,-16.72519933077777,-1.4162306785583496
T0,SOK,SELECT,2020-12-01,Toto2,2021-01-01,-16.72519933077777,-1.111402988433838
T0,SOK,SELECT,2020-12-01,WeightedEnsemble,2021-01-01,-16.72519933077777,-3.805147647857666
T0,SOK,SELECT,2020-12-01,sifir,2021-01-01,-16.72519933077777,0.0
T0,SOK,SELECT,2020-12-01,naive,2021-01-01,-16.72519933077777,-26.59472251283588
T0,SOK,SELECT,2020-12-01,mevsimsel_naive,2021-01-01,-16.72519933077777,-17.591554852079078
T0,SOK,SELECT,2020-12-01,son12_ortalama,2021-01-01,-16.72519933077777,-6.3573861928635536
T0,SOK,SELECT,2021-01-01,SeasonalNaive,2021-02-01,6.848962744626588,-2.814683920368756
T0,SOK,SELECT,2021-01-01,RecursiveTabular,2021-02-01,6.848962744626588,-3.530916690826416
T0,SOK,SELECT,2021-01-01,DirectTabular,2021-02-01,6.848962744626588,0.07083369046449661
T0,SOK,SELECT,2021-01-01,ETS,2021-02-01,6.848962744626588,-1.1187466382704478
