kol,rejim,origin,model,hedef_ay,y_true,y_pred_q50
T0,SOK_2020_04_2022_12,2020-09-01,Toto2,2020-12-01,-34.310592493298216,-17.286632537841797
T0,SOK_2020_04_2022_12,2020-09-01,WeightedEnsemble,2020-12-01,-34.310592493298216,54.496604919433594
T0,SOK_2020_04_2022_12,2020-09-01,sifir,2020-12-01,-34.310592493298216,0.0
T0,SOK_2020_04_2022_12,2020-09-01,son12_ortalama,2020-12-01,-34.310592493298216,7.749617005031705
T0,SOK_2020_04_2022_12,2020-10-01,SeasonalNaive,2021-01-01,-50.27348041149137,18.78633798494572
T0,SOK_2020_04_2022_12,2020-10-01,RecursiveTabular,2021-01-01,-50.27348041149137,33.255577087402344
T0,SOK_2020_04_2022_12,2020-10-01,DirectTabular,2021-01-01,-50.27348041149137,2.735330104827881
T0,SOK_2020_04_2022_12,2020-10-01,ETS,2021-01-01,-50.27348041149137,-2.9987981953819016
T0,SOK_2020_04_2022_12,2020-10-01,Theta,2021-01-01,-50.27348041149137,-6.376551628112793
T0,SOK_2020_04_2022_12,2020-10-01,Chronos2,2021-01-01,-50.27348041149137,-6.022164344787598
T0,SOK_2020_04_2022_12,2020-10-01,Toto2,2021-01-01,-50.27348041149137,-13.947253227233887
T0,SOK_2020_04_2022_12,2020-10-01,WeightedEnsemble,2021-01-01,-50.27348041149137,-11.94596808004861
T0,SOK_2020_04_2022_12,2020-10-01,sifir,2021-01-01,-50.27348041149137,0.0
T0,SOK_2020_04_2022_12,2020-10-01,son12_ortalama,2021-01-01,-50.27348041149137,6.061824873946648
T0,SOK_2020_04_2022_12,2020-11-01,SeasonalNaive,2021-02-01,-56.20072992364159,2.530313051816066
T0,SOK_2020_04_2022_12,2020-11-01,RecursiveTabular,2021-02-01,-56.20072992364159,1.3237751722335815
T0,SOK_2020_04_2022_12,2020-11-01,DirectTabular,2021-02-01,-56.20072992364159,-0.055928535759449005
T0,SOK_2020_04_2022_12,2020-11-01,ETS,2021-02-01,-56.20072992364159,-23.803960371305863
T0,SOK_2020_04_2022_12,2020-11-01,Theta,2021-02-01,-56.20072992364159,-25.05373764038086
T0,SOK_2020_04_2022_12,2020-11-01,Chronos2,2021-02-01,-56.20072992364159,-4.819021224975586
T0,SOK_2020_04_2022_12,2020-11-01,Toto2,2021-02-01,-56.20072992364159,-9.397294044494629
T0,SOK_2020_04_2022_12,2020-11-01,WeightedEnsemble,2021-02-01,-56.20072992364159,-4.860059368823255
T0,SOK_2020_04_2022_12,2020-11-01,sifir,2021-02-01,-56.20072992364159,0.0
T0,SOK_2020_04_2022_12,2020-11-01,son12_ortalama,2021-02-01,-56.20072992364159,1.3485854844762768
T0,SOK_2020_04_2022_12,2020-12-01,SeasonalNaive,2021-03-01,-26.66389373658552,-18.843990442090515
T0,SOK_2020_04_2022_12,2020-12-01,RecursiveTabular,2021-03-01,-26.66389373658552,-28.426239013671875
T0,SOK_2020_04_2022_12,2020-12-01,DirectTabular,2021-03-01,-26.66389373658552,-0.9709880948066711
T0,SOK_2020_04_2022_12,2020-12-01,ETS,2021-03-01,-26.66389373658552,-38.01184601784522
T0,SOK_2020_04_2022_12,2020-12-01,Theta,2021-03-01,-26.66389373658552,-38.66907501220703
T0,SOK_2020_04_2022_12,2020-12-01,Chronos2,2021-03-01,-26.66389373658552,0.1313403844833374
T0,SOK_2020_04_2022_12,2020-12-01,Toto2,2021-03-01,-26.66389373658552,3.6305627822875977
T0,SOK_2020_04_2022_12,2020-12-01,WeightedEnsemble,2021-03-01,-26.66389373658552,3.6305627822875977
T0,SOK_2020_04_2022_12,2020-12-01,sifir,2021-03-01,-26.66389373658552,0.0
T0,SOK_2020_04_2022_12,2020-12-01,son12_ortalama,2021-03-01,-26.66389373658552,-4.067281914061039
T0,SOK_2020_04_2022_12,2021-01-01,SeasonalNaive,2021-04-01,6.380031107179807,-42.499592363045686
T0,SOK_2020_04_2022_12,2021-01-01,RecursiveTabular,2021-04-01,6.380031107179807,-52.12571334838867
T0,SOK_2020_04_2022_12,2021-01-01,DirectTabular,2021-04-01,6.380031107179807,0.38500675559043884
T0,SOK_2020_04_2022_12,2021-01-01,ETS,2021-04-01,6.380031107179807,-50.271883990616494
T0,SOK_2020_04_2022_12,2021-01-01,Theta,2021-04-01,6.380031107179807,-55.05221939086914
T0,SOK_2020_04_2022_12,2021-01-01,Chronos2,2021-04-01,6.380031107179807,-10.467635154724121
T0,SOK_2020_04_2022_12,2021-01-01,Toto2,2021-04-01,6.380031107179807,-14.986834526062012
T0,SOK_2020_04_2022_12,2021-01-01,WeightedEnsemble,2021-04-01,6.380031107179807,-14.986834526062012
T0,SOK_2020_04_2022_12,2021-01-01,sifir,2021-04-01,6.380031107179807,0.0
T0,SOK_2020_04_2022_12,2021-01-01,son12_ortalama,2021-04-01,6.380031107179807,-9.822266780430796
T0,SOK_2020_04_2022_12,2021-02-01,SeasonalNaive,2021-05-01,18.675919162484007,-57.86258222644093
T0,SOK_2020_04_2022_12,2021-02-01,RecursiveTabular,2021-05-01,18.675919162484007,-61.099281311035156
T0,SOK_2020_04_2022_12,2021-02-01,DirectTabular,2021-05-01,18.675919162484007,3.0469930171966553
T0,SOK_2020_04_2022_12,2021-02-01,ETS,2021-05-01,18.675919162484007,-56.200137039048286
T0,SOK_2020_04_2022_12,2021-02-01,Theta,2021-05-01,18.675919162484007,-61.38988494873047
T0,SOK_2020_04_2022_12,2021-02-01,Chronos2,2021-05-01,18.675919162484007,-24.83719825744629
T0,SOK_2020_04_2022_12,2021-02-01,Toto2,2021-05-01,18.675919162484007,-19.367053985595703
T0,SOK_2020_04_2022_12,2021-02-01,WeightedEnsemble,2021-05-01,18.675919162484007,-56.200137039048286
T0,SOK_2020_04_2022_12,2021-02-01,sifir,2021-05-01,18.675919162484007,0.0
T0,SOK_2020_04_2022_12,2021-02-01,son12_ortalama,2021-05-01,18.675919162484007,-14.716520361718935
T0,SOK_2020_04_2022_12,2021-03-01,SeasonalNaive,2021-06-01,18.676333909135213,-22.793039181319823
T0,SOK_2020_04_2022_12,2021-03-01,RecursiveTabular,2021-06-01,18.676333909135213,-21.57710838317871
T0,SOK_2020_04_2022_12,2021-03-01,DirectTabular,2021-06-01,18.676333909135213,4.264754772186279
T0,SOK_2020_04_2022_12,2021-03-01,ETS,2021-06-01,18.676333909135213,-26.666847360915774
T0,SOK_2020_04_2022_12,2021-03-01,Theta,2021-06-01,18.676333909135213,-32.18099594116211
T0,SOK_2020_04_2022_12,2021-03-01,Chronos2,2021-06-01,18.676333909135213,-7.2577409744262695
T0,SOK_2020_04_2022_12,2021-03-01,Toto2,2021-06-01,18.676333909135213,12.024835586547852
T0,SOK_2020_04_2022_12,2021-03-01,WeightedEnsemble,2021-06-01,18.676333909135213,-20.89657245059426
T0,SOK_2020_04_2022_12,2021-03-01,sifir,2021-06-01,18.676333909135213,0.0
T0,SOK_2020_04_2022_12,2021-03-01,son12_ortalama,2021-06-01,18.676333909135213,-15.36817896959352
T0,SOK_2020_04_2022_12,2021-04-01,SeasonalNaive,2021-07-01,13.4745169990887,33.28497903270504
T0,SOK_2020_04_2022_12,2021-04-01,RecursiveTabular,2021-07-01,13.4745169990887,38.525787353515625
T0,SOK_2020_04_2022_12,2021-04-01,DirectTabular,2021-07-01,13.4745169990887,3.7205731868743896
T0,SOK_2020_04_2022_12,2021-04-01,ETS,2021-07-01,13.4745169990887,6.376726419332996
T0,SOK_2020_04_2022_12,2021-04-01,Theta,2021-07-01,13.4745169990887,1.0665020942687988
T0,SOK_2020_04_2022_12,2021-04-01,Chronos2,2021-07-01,13.4745169990887,-3.119624376296997
T0,SOK_2020_04_2022_12,2021-04-01,Toto2,2021-07-01,13.4745169990887,8.353858947753906
T0,SOK_2020_04_2022_12,2021-04-01,WeightedEnsemble,2021-07-01,13.4745169990887,-3.119624376296997
T0,SOK_2020_04_2022_12,2021-04-01,sifir,2021-07-01,13.4745169990887,0.0
