origin,model,hedef_ay,y_true,y_pred_q50
2024-10-01,Theta,2025-01-01,-5.136694267373928,13.276620864868164
2024-10-01,Chronos2,2025-01-01,-5.136694267373928,2.8099746704101562
2024-10-01,Toto2,2025-01-01,-5.136694267373928,0.5535070300102234
2024-10-01,WeightedEnsemble,2025-01-01,-5.136694267373928,0.5535070300102234
2024-10-01,sifir,2025-01-01,-5.136694267373928,0.0
2024-10-01,son12_ortalama,2025-01-01,-5.136694267373928,3.6292207309262374
2024-11-01,SeasonalNaive,2025-02-01,-12.040738564332296,18.502167166496765
2024-11-01,RecursiveTabular,2025-02-01,-12.040738564332296,-16.904125213623047
2024-11-01,DirectTabular,2025-02-01,-12.040738564332296,-17.24098777770996
2024-11-01,ETS,2025-02-01,-12.040738564332296,16.41364650765741
2024-11-01,Theta,2025-02-01,-12.040738564332296,12.626996994018555
2024-11-01,Chronos2,2025-02-01,-12.040738564332296,0.7521936893463135
2024-11-01,Toto2,2025-02-01,-12.040738564332296,-0.1138695478439331
2024-11-01,WeightedEnsemble,2025-02-01,-12.040738564332296,-8.106524721781414
2024-11-01,sifir,2025-02-01,-12.040738564332296,0.0
2024-11-01,son12_ortalama,2025-02-01,-12.040738564332296,6.771563570199167
2024-12-01,SeasonalNaive,2025-03-01,-19.8439275880849,14.808234910108492
2024-12-01,RecursiveTabular,2025-03-01,-19.8439275880849,-29.43680191040039
2024-12-01,DirectTabular,2025-03-01,-19.8439275880849,-10.75140380859375
2024-12-01,ETS,2025-03-01,-19.8439275880849,4.670882805771704
2024-12-01,Theta,2025-03-01,-19.8439275880849,0.9973310828208923
2024-12-01,Chronos2,2025-03-01,-19.8439275880849,-3.3258261680603027
2024-12-01,Toto2,2025-03-01,-19.8439275880849,-2.9946417808532715
2024-12-01,WeightedEnsemble,2025-03-01,-19.8439275880849,-11.966927689976162
2024-12-01,sifir,2025-03-01,-19.8439275880849,0.0
2024-12-01,son12_ortalama,2025-03-01,-19.8439275880849,7.928082984210068
2025-01-01,SeasonalNaive,2025-04-01,-7.560802892465666,8.437620324379505
2025-01-01,RecursiveTabular,2025-04-01,-7.560802892465666,-5.835176467895508
2025-01-01,DirectTabular,2025-04-01,-7.560802892465666,2.6708645820617676
2025-01-01,ETS,2025-04-01,-7.560802892465666,-5.135713509666612
2025-01-01,Theta,2025-04-01,-7.560802892465666,-8.83126163482666
2025-01-01,Chronos2,2025-04-01,-7.560802892465666,-0.8957066535949707
2025-01-01,Toto2,2025-04-01,-7.560802892465666,-4.014840126037598
2025-01-01,WeightedEnsemble,2025-04-01,-7.560802892465666,0.43811861442965117
2025-01-01,sifir,2025-04-01,-7.560802892465666,0.0
2025-01-01,son12_ortalama,2025-04-01,-7.560802892465666,7.171292743421554
2025-02-01,SeasonalNaive,2025-05-01,5.528626487670866,1.7542045779339082
2025-02-01,RecursiveTabular,2025-05-01,5.528626487670866,-10.692666053771973
2025-02-01,DirectTabular,2025-05-01,5.528626487670866,22.884063720703125
2025-02-01,ETS,2025-05-01,5.528626487670866,-12.040048061826827
2025-02-01,Theta,2025-05-01,5.528626487670866,-15.76938247680664
2025-02-01,Chronos2,2025-05-01,5.528626487670866,3.7586684226989746
2025-02-01,Toto2,2025-05-01,5.528626487670866,-5.285006999969482
2025-02-01,WeightedEnsemble,2025-05-01,5.528626487670866,22.548296422958373
2025-02-01,sifir,2025-05-01,5.528626487670866,0.0
2025-02-01,son12_ortalama,2025-05-01,5.528626487670866,4.6260505991858
2025-03-01,SeasonalNaive,2025-06-01,12.821982748855913,-8.974744432748658
2025-03-01,RecursiveTabular,2025-06-01,12.821982748855913,-8.073261260986328
2025-03-01,DirectTabular,2025-06-01,12.821982748855913,17.70728874206543
2025-03-01,ETS,2025-06-01,12.821982748855913,-19.84314720013227
2025-03-01,Theta,2025-06-01,12.821982748855913,-23.579208374023438
2025-03-01,Chronos2,2025-06-01,12.821982748855913,0.06921303272247314
2025-03-01,Toto2,2025-06-01,12.821982748855913,-0.9326454401016235
2025-03-01,WeightedEnsemble,2025-06-01,12.821982748855913,-8.027245956127377
2025-03-01,sifir,2025-06-01,12.821982748855913,0.0
2025-03-01,son12_ortalama,2025-06-01,12.821982748855913,1.7383703910030166
