origin,model,hedef_ay,y_true,y_pred_q50
2024-08-01,sifir,2024-11-01,16.413579595458174,0.0
2024-08-01,son12_ortalama,2024-11-01,16.413579595458174,-3.659656632458486
2024-09-01,Naive,2024-12-01,4.669708411962132,20.685966189053858
2024-09-01,SeasonalNaive,2024-12-01,4.669708411962132,-9.208524556168657
2024-09-01,Average,2024-12-01,4.669708411962132,1.7630760800449976
2024-09-01,RecursiveTabular,2024-12-01,4.669708411962132,-26.27330780029297
2024-09-01,DirectTabular,2024-12-01,4.669708411962132,0.5155260562896729
2024-09-01,ETS,2024-12-01,4.669708411962132,20.68381734473107
2024-09-01,Theta,2024-12-01,4.669708411962132,16.586950302124023
2024-09-01,AutoETS,2024-12-01,4.669708411962132,20.68381734473107
2024-09-01,AutoARIMA,2024-12-01,4.669708411962132,-2.7899866470577828
2024-09-01,Chronos[bolt_small],2024-12-01,4.669708411962132,11.931130409240723
2024-09-01,WeightedEnsemble,2024-12-01,4.669708411962132,1.624569741931269
2024-09-01,sifir,2024-12-01,4.669708411962132,0.0
2024-09-01,son12_ortalama,2024-12-01,4.669708411962132,0.12760455441813492
2024-10-01,Naive,2025-01-01,-5.136694267373928,17.08234144025041
2024-10-01,SeasonalNaive,2025-01-01,-5.136694267373928,3.944788622088225
2024-10-01,Average,2025-01-01,-5.136694267373928,1.7719475821560873
2024-10-01,RecursiveTabular,2025-01-01,-5.136694267373928,-43.6844596862793
2024-10-01,DirectTabular,2025-01-01,-5.136694267373928,-1.5236908197402954
2024-10-01,ETS,2025-01-01,-5.136694267373928,17.08270158784086
2024-10-01,Theta,2025-01-01,-5.136694267373928,13.276620864868164
2024-10-01,AutoETS,2025-01-01,-5.136694267373928,17.08270158784086
2024-10-01,AutoARIMA,2025-01-01,-5.136694267373928,-13.516229288353879
2024-10-01,Chronos[bolt_small],2025-01-01,-5.136694267373928,6.211208820343018
2024-10-01,WeightedEnsemble,2025-01-01,-5.136694267373928,-13.516229288353879
2024-10-01,sifir,2025-01-01,-5.136694267373928,0.0
2024-10-01,son12_ortalama,2025-01-01,-5.136694267373928,3.6292207309262374
2024-11-01,Naive,2025-02-01,-12.040738564332296,16.413579595458174
2024-11-01,SeasonalNaive,2025-02-01,-12.040738564332296,18.502167166496765
2024-11-01,Average,2025-02-01,-12.040738564332296,2.1511303169860767
2024-11-01,RecursiveTabular,2025-02-01,-12.040738564332296,-29.369007110595703
2024-11-01,DirectTabular,2025-02-01,-12.040738564332296,0.844534158706665
2024-11-01,ETS,2025-02-01,-12.040738564332296,16.41364650765741
2024-11-01,Theta,2025-02-01,-12.040738564332296,12.626996994018555
2024-11-01,AutoETS,2025-02-01,-12.040738564332296,16.41364650765741
2024-11-01,AutoARIMA,2025-02-01,-12.040738564332296,-8.3017671793358
2024-11-01,Chronos[bolt_small],2025-02-01,-12.040738564332296,8.89291000366211
2024-11-01,WeightedEnsemble,2025-02-01,-12.040738564332296,-29.369007110595703
2024-11-01,sifir,2025-02-01,-12.040738564332296,0.0
2024-11-01,son12_ortalama,2025-02-01,-12.040738564332296,6.771563570199167
2024-12-01,Naive,2025-03-01,-19.8439275880849,4.669708411962132
2024-12-01,SeasonalNaive,2025-03-01,-19.8439275880849,14.808234910108492
2024-12-01,Average,2025-03-01,-19.8439275880849,2.530313051816066
2024-12-01,RecursiveTabular,2025-03-01,-19.8439275880849,-27.185333251953125
2024-12-01,DirectTabular,2025-03-01,-19.8439275880849,-5.542382717132568
2024-12-01,ETS,2025-03-01,-19.8439275880849,4.670882805771704
2024-12-01,Theta,2025-03-01,-19.8439275880849,0.9973310828208923
2024-12-01,AutoETS,2025-03-01,-19.8439275880849,4.670882805771704
2024-12-01,AutoARIMA,2025-03-01,-19.8439275880849,-7.1044706742362145
2024-12-01,Chronos[bolt_small],2025-03-01,-19.8439275880849,4.407103538513184
2024-12-01,WeightedEnsemble,2025-03-01,-19.8439275880849,-3.1987495563729444
2024-12-01,sifir,2025-03-01,-19.8439275880849,0.0
2024-12-01,son12_ortalama,2025-03-01,-19.8439275880849,7.928082984210068
2025-01-01,Naive,2025-04-01,-7.560802892465666,-5.136694267373928
2025-01-01,SeasonalNaive,2025-04-01,-7.560802892465666,8.437620324379505
2025-01-01,Average,2025-04-01,-7.560802892465666,2.1511303169860767
2025-01-01,RecursiveTabular,2025-04-01,-7.560802892465666,-9.047405242919922
2025-01-01,DirectTabular,2025-04-01,-7.560802892465666,0.30931273102760315
2025-01-01,ETS,2025-04-01,-7.560802892465666,-5.135713509666612
2025-01-01,Theta,2025-04-01,-7.560802892465666,-8.83126163482666
2025-01-01,AutoETS,2025-04-01,-7.560802892465666,-5.135713509666612
2025-01-01,AutoARIMA,2025-04-01,-7.560802892465666,-1.5873515891051004
2025-01-01,Chronos[bolt_small],2025-04-01,-7.560802892465666,0.9592524170875549
2025-01-01,WeightedEnsemble,2025-04-01,-7.560802892465666,-3.608273602148313
2025-01-01,sifir,2025-04-01,-7.560802892465666,0.0
2025-01-01,son12_ortalama,2025-04-01,-7.560802892465666,7.171292743421554
2025-02-01,Naive,2025-05-01,5.528626487670866,-12.040738564332296
2025-02-01,SeasonalNaive,2025-05-01,5.528626487670866,1.7542045779339082
2025-02-01,Average,2025-05-01,5.528626487670866,1.7719475821560873
2025-02-01,RecursiveTabular,2025-05-01,5.528626487670866,-13.12979507446289
2025-02-01,DirectTabular,2025-05-01,5.528626487670866,27.36243438720703
2025-02-01,ETS,2025-05-01,5.528626487670866,-12.040048061826827
2025-02-01,Theta,2025-05-01,5.528626487670866,-15.76938247680664
2025-02-01,AutoETS,2025-05-01,5.528626487670866,-12.040048061826827
2025-02-01,AutoARIMA,2025-05-01,5.528626487670866,2.738499786756342
2025-02-01,Chronos[bolt_small],2025-05-01,5.528626487670866,-2.225109100341797
2025-02-01,WeightedEnsemble,2025-05-01,5.528626487670866,1.0832698676182995
2025-02-01,sifir,2025-05-01,5.528626487670866,0.0
2025-02-01,son12_ortalama,2025-05-01,5.528626487670866,4.6260505991858
2025-03-01,Naive,2025-06-01,12.821982748855913,-19.8439275880849
2025-03-01,SeasonalNaive,2025-06-01,12.821982748855913,-8.974744432748658
2025-03-01,Average,2025-06-01,12.821982748855913,1.7630760800449976
2025-03-01,RecursiveTabular,2025-06-01,12.821982748855913,-4.11037015914917
2025-03-01,DirectTabular,2025-06-01,12.821982748855913,24.034038543701172
2025-03-01,ETS,2025-06-01,12.821982748855913,-19.84314720013227
2025-03-01,Theta,2025-06-01,12.821982748855913,-23.579208374023438
2025-03-01,AutoETS,2025-06-01,12.821982748855913,-19.84314720013227
2025-03-01,AutoARIMA,2025-06-01,12.821982748855913,3.3832386228966835
2025-03-01,Chronos[bolt_small],2025-06-01,12.821982748855913,-6.927938938140869
2025-03-01,WeightedEnsemble,2025-06-01,12.821982748855913,-1.372941523234009
2025-03-01,sifir,2025-06-01,12.821982748855913,0.0
2025-03-01,son12_ortalama,2025-06-01,12.821982748855913,1.7383703910030166
