kol,blok,origin,model,hedef_ay,y_true,y_pred_q50
T0,SELECT,2023-11-01,SeasonalNaive,2024-02-01,18.502167166496765,20.151028644223192
T0,SELECT,2023-11-01,RecursiveTabular,2024-02-01,18.502167166496765,17.249290466308594
T0,SELECT,2023-11-01,DirectTabular,2024-02-01,18.502167166496765,2.337134599685669
T0,SELECT,2023-11-01,ETS,2024-02-01,18.502167166496765,-21.294898725878966
T0,SELECT,2023-11-01,Theta,2024-02-01,18.502167166496765,-25.593502044677734
T0,SELECT,2023-11-01,Chronos2,2024-02-01,18.502167166496765,-2.4719462394714355
T0,SELECT,2023-11-01,Toto2,2024-02-01,18.502167166496765,4.616992950439453
T0,SELECT,2023-11-01,WeightedEnsemble,2024-02-01,18.502167166496765,-17.78217768884784
T0,SELECT,2023-11-01,sifir,2024-02-01,18.502167166496765,0.0
T0,SELECT,2023-11-01,son12_ortalama,2024-02-01,18.502167166496765,0.25151187264693203
T0,SELECT,2023-12-01,SeasonalNaive,2024-03-01,14.808234910108492,1.7719475821560873
T0,SELECT,2023-12-01,RecursiveTabular,2024-03-01,14.808234910108492,-0.49920153617858887
T0,SELECT,2023-12-01,DirectTabular,2024-03-01,14.808234910108492,2.782479763031006
T0,SELECT,2023-12-01,ETS,2024-03-01,14.808234910108492,-9.209733193585631
T0,SELECT,2023-12-01,Theta,2024-03-01,14.808234910108492,-13.560186386108398
T0,SELECT,2023-12-01,Chronos2,2024-03-01,14.808234910108492,1.2078802585601807
T0,SELECT,2023-12-01,Toto2,2024-03-01,14.808234910108492,6.287470817565918
T0,SELECT,2023-12-01,WeightedEnsemble,2024-03-01,14.808234910108492,-5.965807937194327
T0,SELECT,2023-12-01,sifir,2024-03-01,14.808234910108492,0.0
T0,SELECT,2023-12-01,son12_ortalama,2024-03-01,14.808234910108492,-2.913428032147444
T0,SELECT,2024-01-01,SeasonalNaive,2024-04-01,8.437620324379505,-2.3825953558908384
T0,SELECT,2024-01-01,RecursiveTabular,2024-04-01,8.437620324379505,-3.303271770477295
T0,SELECT,2024-01-01,DirectTabular,2024-04-01,8.437620324379505,2.72259259223938
T0,SELECT,2024-01-01,ETS,2024-04-01,8.437620324379505,3.943473169906655
T0,SELECT,2024-01-01,Theta,2024-04-01,8.437620324379505,-0.3627369701862335
T0,SELECT,2024-01-01,Chronos2,2024-04-01,8.437620324379505,3.0042812824249268
T0,SELECT,2024-01-01,Toto2,2024-04-01,8.437620324379505,8.959662437438965
T0,SELECT,2024-01-01,WeightedEnsemble,2024-04-01,8.437620324379505,7.29471714650431
T0,SELECT,2024-01-01,sifir,2024-04-01,8.437620324379505,0.0
T0,SELECT,2024-01-01,son12_ortalama,2024-04-01,8.437620324379505,-5.202954668273168
T0,SELECT,2024-02-01,SeasonalNaive,2024-05-01,1.7542045779339082,14.133222543787843
T0,SELECT,2024-02-01,RecursiveTabular,2024-05-01,1.7542045779339082,14.567368507385254
T0,SELECT,2024-02-01,DirectTabular,2024-05-01,1.7542045779339082,2.265472888946533
T0,SELECT,2024-02-01,ETS,2024-05-01,1.7542045779339082,18.500711297097105
T0,SELECT,2024-02-01,Theta,2024-05-01,1.7542045779339082,14.259138107299805
T0,SELECT,2024-02-01,Chronos2,2024-05-01,1.7542045779339082,7.201292037963867
T0,SELECT,2024-02-01,Toto2,2024-05-01,1.7542045779339082,12.56560230255127
T0,SELECT,2024-02-01,WeightedEnsemble,2024-05-01,1.7542045779339082,12.833640451232593
T0,SELECT,2024-02-01,sifir,2024-05-01,1.7542045779339082,0.0
T0,SELECT,2024-02-01,son12_ortalama,2024-05-01,1.7542045779339082,-5.340359791417037
T0,SELECT,2024-03-01,SeasonalNaive,2024-06-01,-8.974744432748658,8.28717360196214
T0,SELECT,2024-03-01,RecursiveTabular,2024-06-01,-8.974744432748658,21.67753791809082
T0,SELECT,2024-03-01,DirectTabular,2024-06-01,-8.974744432748658,0.2003317028284073
T0,SELECT,2024-03-01,ETS,2024-06-01,-8.974744432748658,14.808604157747192
T0,SELECT,2024-03-01,Theta,2024-06-01,-8.974744432748658,10.79873275756836
T0,SELECT,2024-03-01,Chronos2,2024-06-01,-8.974744432748658,-1.2201542854309082
T0,SELECT,2024-03-01,Toto2,2024-06-01,-8.974744432748658,1.020522952079773
T0,SELECT,2024-03-01,WeightedEnsemble,2024-06-01,-8.974744432748658,4.11907519698143
T0,SELECT,2024-03-01,sifir,2024-06-01,-8.974744432748658,0.0
T0,SELECT,2024-03-01,son12_ortalama,2024-06-01,-8.974744432748658,-4.25400251408767
T0,CONFIRM,2024-04-01,SeasonalNaive,2024-07-01,-1.3844522349381303,-2.7520384522287724
T0,CONFIRM,2024-04-01,RecursiveTabular,2024-07-01,-1.3844522349381303,25.892887115478516
T0,CONFIRM,2024-04-01,DirectTabular,2024-07-01,-1.3844522349381303,0.5534082055091858
T0,CONFIRM,2024-04-01,ETS,2024-07-01,-1.3844522349381303,8.438257422762844
T0,CONFIRM,2024-04-01,Theta,2024-07-01,-1.3844522349381303,4.487876892089844
T0,CONFIRM,2024-04-01,Chronos2,2024-07-01,-1.3844522349381303,0.3535585105419159
T0,CONFIRM,2024-04-01,Toto2,2024-07-01,-1.3844522349381303,-1.113167643547058
T0,CONFIRM,2024-04-01,WeightedEnsemble,2024-07-01,-1.3844522349381303,-1.1885180255554129
