kol,blok,model,n,MAE,RMSE,DA_yuzde
T1,SELECT,sifir,12,13.730231807613352,16.220684944267177,0.0
T2,SELECT,sifir,12,13.730231807613352,16.220684944267177,0.0
T0,SELECT,Toto2,12,13.91579649625328,17.491616992973785,66.66666666666666
T1,SELECT,Toto2,12,13.91579649625328,17.491616992973785,66.66666666666666
T2,SELECT,Toto2,12,13.91579649625328,17.491616992973785,66.66666666666666
T1,SELECT,DirectTabular,12,15.324879941576699,19.003453277910264,50.0
T2,SELECT,DirectTabular,12,15.324879941576699,19.003453277910264,50.0
T0,SELECT,SeasonalNaive,12,15.942314121652586,18.624109506585526,66.66666666666666
T1,SELECT,SeasonalNaive,12,15.942314121652586,18.624109506585526,66.66666666666666
T2,SELECT,SeasonalNaive,12,15.942314121652586,18.624109506585526,66.66666666666666
T0,SELECT,son12_ortalama,12,16.569554815703537,19.08778117067683,25.0
T1,SELECT,son12_ortalama,12,16.569554815703537,19.08778117067683,25.0
T2,SELECT,son12_ortalama,12,16.569554815703537,19.08778117067683,25.0
T0,SELECT,Chronos2,12,16.65726755545747,20.173751923629446,50.0
T2,SELECT,WeightedEnsemble,12,16.834177385860247,21.105941951205953,50.0
T1,SELECT,WeightedEnsemble,12,17.325185478029983,21.221637354923583,50.0
T0,SELECT,DirectTabular,12,19.233439143610116,27.699468786177828,41.66666666666667
T1,SELECT,RecursiveTabular,12,19.68598855211525,22.20992250314077,58.333333333333336
T2,SELECT,RecursiveTabular,12,19.68598855211525,22.20992250314077,58.333333333333336
T0,SELECT,ETS,12,21.040720739354814,24.60709056987121,50.0
T1,SELECT,ETS,12,21.040720739354814,24.60709056987121,50.0
T2,SELECT,ETS,12,21.040720739354814,24.60709056987121,50.0
T0,SELECT,WeightedEnsemble,12,21.566874301304296,24.91197289715482,33.33333333333333
T0,SELECT,Theta,12,21.73231613777568,24.759247765901623,41.66666666666667
T1,SELECT,Theta,12,21.73231613777568,24.759247765901623,41.66666666666667
